model,accuracy,n_observed,1pl_regular,1pl_item_marginal_mmle,2pl_regular,2pl_item_marginal_mmle,3pl_regular,3pl_item_marginal_mmle,1pl_regular_rank,1pl_item_marginal_mmle_rank,2pl_regular_rank,2pl_item_marginal_mmle_rank,3pl_regular_rank,3pl_item_marginal_mmle_rank,1pl_regular_se,1pl_regular_lo,1pl_regular_hi,2pl_regular_se,2pl_regular_lo,2pl_regular_hi,3pl_regular_se,3pl_regular_lo,3pl_regular_hi,1pl_item_marginal_mmle_boot_mean,1pl_item_marginal_mmle_boot_se,1pl_item_marginal_mmle_boot_lo,1pl_item_marginal_mmle_boot_hi,2pl_item_marginal_mmle_boot_mean,2pl_item_marginal_mmle_boot_se,2pl_item_marginal_mmle_boot_lo,2pl_item_marginal_mmle_boot_hi,3pl_item_marginal_mmle_boot_mean,3pl_item_marginal_mmle_boot_se,3pl_item_marginal_mmle_boot_lo,3pl_item_marginal_mmle_boot_hi
claudeopus47,0.931758530183727,381,3.7874377,1.7746156,2.343792,0.9670435,2.053304,0.98425967,1,1,1,1,2,1,0.1571135,3.4794953,4.0953803,0.11069813,2.1268237,2.5607603,0.119304284,1.8194675,2.2871404,1.1241713,0.624315,-0.41567478,1.7920489,0.9577663,0.048049815,0.8789654,1.0428247,0.98292166,0.049526177,0.8826675,1.0591227
claudesonnet46,0.905511811023622,381,3.2899518,1.4442112,2.198654,0.8837484,2.0916054,0.8988376,2,2,2,2,1,2,0.23349439,2.8323028,3.7476008,0.22081812,1.7658504,2.6314573,0.10383639,1.8880861,2.2951248,1.0744042,0.4331571,0.056432635,1.6397407,0.87536955,0.04933917,0.7906759,0.9582769,0.8862609,0.04895602,0.80081344,0.9634424
claudehaiku4520251001,0.8162729658792651,381,2.2681143,0.675483,0.9605143,0.54560155,0.86808395,0.5544906,3,3,3,3,3,3,0.20126711,1.8736308,2.662598,0.21086924,0.5472106,1.373818,0.030467637,0.8083674,0.92780054,0.5805692,0.33567291,-0.4415766,0.97740483,0.548315,0.059326816,0.43795654,0.6624215,0.5665295,0.060668174,0.42595252,0.67945904
qwen3527b,0.7270341207349081,381,1.5323948,0.16381186,0.23039891,0.20486772,0.3109744,0.21432284,4,4,5,4,4,4,0.12731181,1.2828636,1.7819259,0.0051650396,0.22027543,0.24052238,0.014728803,0.28210592,0.33984286,0.18622018,0.14723217,-0.12737499,0.47819397,0.19825767,0.059157647,0.081018165,0.2977805,0.20990902,0.059096996,0.1072595,0.31790185
mistral14b,0.7086614173228346,381,1.3996477,0.07307732,0.30041093,0.15624523,0.13227856,0.16189945,5,5,4,5,6,5,0.131063,1.1427642,1.6565312,0.011187402,0.27848363,0.32233822,0.010363368,0.11196636,0.15259077,0.040427748,0.17309323,-0.31610033,0.37410954,0.15229158,0.070515856,0.010173901,0.26146042,0.15916514,0.052258164,0.074434236,0.26231405
ministral8b,0.6456692913385826,381,0.96977615,-0.21571308,0.21359894,-0.054914936,0.09930085,-0.050623402,6,6,6,6,8,6,0.13681714,0.70161456,1.2379377,0.026756287,0.16115661,0.26604125,0.0033261932,0.09278151,0.10582019,-0.1416458,0.1592339,-0.3560504,0.28371283,-0.07211389,0.066693336,-0.20883097,0.058332462,-0.044721995,0.076801695,-0.21000324,0.05661595
qwen359b,0.5984251968503937,381,0.66759837,-0.41705233,0.12787881,-0.21939115,0.14045593,-0.2277228,7,7,8,7,5,8,0.13736415,0.39836463,0.9368321,0.07300487,-0.015210733,0.27096838,0.1811307,-0.21456027,0.49547213,-0.33225405,0.17675437,-0.57219154,0.0733888,-0.2105339,0.08202034,-0.35033116,-0.06455421,-0.22156666,0.075410545,-0.36359227,-0.096392654
qwen354b,0.5958005249343832,381,0.65147054,-0.42781705,0.11700335,-0.22793637,0.10987544,-0.22445765,8,8,9,8,7,7,0.1391143,0.3788065,0.9241346,0.011460753,0.094540276,0.13946643,0.03571832,0.039867528,0.17988336,-0.35219735,0.19245173,-0.618865,0.1275543,-0.22728838,0.06383048,-0.3351173,-0.110752985,-0.2282906,0.07256387,-0.3832415,-0.07518908
ministral3b,0.5669291338582677,381,0.47198164,-0.54643244,0.13534835,-0.33873037,0.05248377,-0.35010684,9,9,7,9,9,9,0.12657627,0.22389214,0.72007114,0.023373177,0.08953692,0.18115978,0.072594374,-0.08980121,0.19476874,-0.44974276,0.2542489,-0.6998113,-0.10657462,-0.33401778,0.062165003,-0.42597666,-0.20590241,-0.34134266,0.06365341,-0.4467803,-0.22158071
qwen352b,0.48031496062992124,381,-0.058709085,-0.8945946,-0.043900996,-0.6749097,-0.2871397,-0.700703,10,10,10,10,10,10,0.12832133,-0.3102189,0.19280073,0.0039483886,-0.05163984,-0.036162153,0.0038727648,-0.29473034,-0.2795491,-0.7628913,0.2521108,-1.06759,-0.06768571,-0.6548508,0.08286578,-0.8055783,-0.46292397,-0.7201638,0.07407512,-0.86706984,-0.5734706
qwen3508b,0.30708661417322836,381,-1.1812365,-1.6295893,-0.66103685,-1.241624,-2.2080941,-1.2601964,11,11,11,11,11,11,0.12843077,-1.4329607,-0.9295122,0.0037110539,-0.6683105,-0.6537632,0.0049585947,-2.217813,-2.1983752,-0.9670615,0.4942403,-1.6889257,0.05333203,-1.2331952,0.06772034,-1.3333869,-1.107942,-1.2487004,0.06853451,-1.3508781,-1.1217694
